candidate_name,layers,k,known_route,trace_count,top_k,layer_index,reverse_tail_priority,bi_prune_priority,normalized_delta_nll,topk_union_jsd,late_jsd_spike,late_entropy_spike,entropy_monotonicity_violation,math_token_delta_nll,answer_token_delta_nll,overconfidence_collapse,rtd,smoke_rtd,calibration_rtd,holdout_rtd,gsm8k_retention,xsum_retention,risky_gsm8k_lt_0_60,score_file
rtp_gate_structure_drop_1_24_25,"1,24,25",3,,300,100,,,,1347.9142541378021,0.09778146603805833,0.45948782582373715,1.0426594832539409,0.2430815111823624,941.2812488755642,149.05347843869995,1.5113311590247598,420.0614215241584,,421.0046244414964,418.17501568948245,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_24_25.json
rtp_gate_structure_drop_1_25,"1,25",2,,300,100,,,,29.10800122637774,0.026765999592219078,0.1328443242705662,0.41521154774142377,0.15957043781857652,20.882744899213545,11.320265917264603,0.5362303115136678,9.63806571136556,,10.679059305358336,7.556078523379977,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_25.json
rtp_gate_structure_drop_1_2_24,"1,2,24",3,,300,100,,,,842.5426958570481,0.13323842825895812,0.44712048861354164,2.200916253740081,0.3831990885887119,1442.6476242963486,539.6492191314862,1.9283700971775841,353.56658800573,,357.4414305093282,345.81690299853284,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_2_24.json
rtp_gate_structure_drop_1_2_9_24,"1,2,9,24",4,,300,100,,,,1509.3960258050754,0.18316913141527474,0.5210277739987179,2.7136991927423937,0.4639231556686435,2647.113942398892,1047.2037988094983,1.4815347060192352,642.102144976129,,634.6220500339537,657.0623348604793,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_2_9_24.json
rtp_gate_structure_drop_1_3,"1,3",2,,300,100,,,,86.3326926670046,0.037731437876519995,0.17850366608394097,0.724834236090984,0.19201232821673173,169.18747612614973,18.312004215556904,0.9874063753940393,36.23476129960241,,38.926346113423534,30.851591671960254,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_3.json
rtp_gate_structure_drop_1_3_24,"1,3,24",3,,300,100,,,,135.87618581820433,0.05768734725366006,0.2546862687305134,1.0786730434025094,0.22885270933300114,209.1457887521164,31.535184600968993,1.2268898106038422,52.55981726745196,,53.962557278838176,49.75433724467945,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_3_24.json
rtp_gate_structure_drop_1_3_9_24,"1,3,9,24",4,,300,100,,,,306.5497323950502,0.08581824550878565,0.3368184454132925,1.5545470566959392,0.2871442507771176,503.5034035877904,50.789721284932625,1.329537765077217,119.83823949522117,,124.76935870708265,109.97600107149815,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_3_9_24.json
rtp_gate_structure_drop_1_4,"1,4",2,,300,100,,,,302.01145667494416,0.07136417337890669,0.30591846383000115,1.2300186192321314,0.25590518492546743,602.9719703931474,62.53582744386683,1.7738558136549452,127.20719403708746,,133.02752384201952,115.56653442722336,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_4.json
rtp_gate_structure_drop_1_4_24,"1,4,24",3,,300,100,,,,419.59600659829925,0.09511409616418516,0.3653098996023388,1.6519612944926387,0.3022841285435299,726.3002062888377,93.25935611044987,1.8120918225763731,168.08840926038562,,173.11944995366557,158.02632787382544,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_4_24.json
rtp_gate_structure_drop_1_4_9_24,"1,4,9,24",4,,300,100,,,,942.1797746128051,0.1410671510324952,0.4749655582527502,2.159303597091175,0.38139407583998164,1688.590302226522,588.7042288726274,1.93617587084161,400.60349817785936,,410.43162578526056,380.9472429630571,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_4_9_24.json
